rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/value_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/learning_rate,train/n_updates,train/std,train/clip_range,eval/mean_ep_length,eval/mean_reward
1000.0,91,85,1000.0,186368,2177,3.7178292870976294e-07,-4.6933274269104,0.0036750422,0.003350585902808234,0.28783624097704885,0.07041015625,-0.005540613550692797,0.0003,900,0.1795307695865631,0.2,,
1000.0,92,86,1000.0,188416,2181,1.6269513014322002e-05,-10.653936386108398,0.008209442,0.004314407470519655,0.3092746715992689,0.086865234375,0.010082713328301907,0.0003,910,0.17526018619537354,0.2,,
,,,,190000,,5.129995372499252e-07,-4.1912970542907715,0.0049367426,0.0009737008178490214,0.3372710827738047,0.092236328125,-0.0036063226871192455,0.0003,920,0.17033833265304565,0.2,1000.0,1000.0
1000.0,93,87,1000.0,190464,2167,,,,,,,,,,,,,
1000.0,94,88,1000.0,192512,2170,6.433852377085714e-07,-8.754405975341797,0.00787841,0.0006900341220898553,0.361805484816432,0.09189453125,-0.01307613030076027,0.0003,930,0.1666467785835266,0.2,,
1000.0,95,89,1000.0,194560,2174,6.658093374767304e-06,-7.134241104125977,0.00581977,0.0031992787247872912,0.38183075822889806,0.10322265625,0.0005510839400812984,0.0003,940,0.16408225893974304,0.2,,
1000.0,96,90,1000.0,196608,2176,2.5557840803003274e-05,-8.289172172546387,0.0132603375,0.002272859151707962,0.39283759593963624,0.12265625,0.014355397783219814,0.0003,950,0.16263751685619354,0.2,,
1000.0,97,91,1000.0,198656,2179,3.264201751562723e-07,-8.104933738708496,0.008777248,0.0011168267592438497,0.4100967928767204,0.132666015625,-0.02188807912170887,0.0003,960,0.1593150645494461,0.2,,
,,,,200000,,0.0005123416794418744,-8.699173927307129,0.017178267,0.0032678710616892205,0.4314443293958902,0.105517578125,-0.011137115769088268,0.0003,970,0.1555781215429306,0.2,1000.0,1000.0
1000.0,98,92,1000.0,200704,2165,,,,,,,,,,,,,
1000.0,99,93,1000.0,202752,2168,1.1707581018072233e-05,-6.6296257972717285,0.011303369,-0.00029777151939924806,0.44784339889883995,0.134375,0.0016955945175141096,0.0003,980,0.15426746010780334,0.2,,
