rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/clip_fraction,train/entropy_loss
1000.0,78,182272,89,2318,1000.0,880,-19.291780471801758,0.2,0.009355027,0.0020267373009119185,-0.011622859165072441,4.055659218238361e-06,0.0003,0.24477651715278625,0.107666015625,-0.019735685363411904
1000.0,79,184320,90,2320,1000.0,890,-14.580126762390137,0.2,0.0067487657,0.0023384778236504645,0.00016873094136826694,4.9218379075455235e-06,0.0003,0.240605428814888,0.0908203125,-0.0018019914627075196
1000.0,80,186368,91,2322,1000.0,900,-17.751585006713867,0.2,0.007160038,0.00022957878827583044,-0.0014356907922774553,3.9178422355234944e-07,0.0003,0.23522347211837769,0.080029296875,0.01822716072201729
1000.0,81,188416,92,2323,1000.0,910,-26.303695678710938,0.2,0.010389801,0.0019534651655703783,-0.008252259343862534,0.00026525168491389197,0.0003,0.22985206544399261,0.11689453125,0.04058542624115944
1000.0,81,190464,93,2324,1000.0,920,-15.723150253295898,0.2,0.005132672,0.0011651128734229133,-0.008848925121128559,4.328425831090499e-07,0.0003,0.22606396675109863,0.068896484375,0.0591942809522152
1000.0,82,192512,94,2325,1000.0,930,-16.67047882080078,0.2,0.0043348055,-0.0007167517265770585,0.04390806704759598,2.161764939501154e-07,0.0003,0.223044291138649,0.0634765625,0.0753165103495121
1000.0,83,194560,95,2327,1000.0,940,-13.63477897644043,0.2,0.012396033,0.002680104701721575,0.010305605828762054,8.821870693509482e-07,0.0003,0.2205563336610794,0.101123046875,0.08700053803622723
1000.0,84,196608,96,2328,1000.0,950,-19.552358627319336,0.2,0.006548716,0.0005486813446623273,-0.0040559894405305386,2.4281039159745887e-05,0.0003,0.21011103689670563,0.0802734375,0.11506126970052719
1000.0,85,198656,97,2329,1000.0,960,-15.742992401123047,0.2,0.0050349673,0.0007076217196299694,0.0010879288893193007,2.2205614413906005e-07,0.0003,0.2101115882396698,0.086865234375,0.1434029221534729
1000.0,86,200704,98,2330,1000.0,970,-26.300294876098633,0.2,0.009346025,0.00387885056406958,-0.008421028032898903,3.2507265075309987e-07,0.0003,0.20682834088802338,0.1388671875,0.1498715404421091
